Date,Open,High,Low,Close,Adj Close,Volume
2023-10-11,1493676880,1509126343,1464398682,1478361206,1478361206,4955459331
2023-10-12,1478330811,1488660889,1461902954,1474346924,1474346924,5098663802
2023-10-13,1474442261,1474907104,1444367432,1461329346,1461329346,4749500818
2023-10-14,1461158813,1495126221,1458495239,1476423584,1476423584,4352098787
2023-10-15,1476589355,1484257690,1470382446,1479436523,1479436523,2310788071
2023-10-16,1479264526,1488175781,1474963501,1480711670,1480711670,2778194157
2023-10-17,1480943237,1545231079,1479171997,1516448608,1516448608,8382146289
2023-10-18,1516544556,1516880859,1470689087,1480630371,1480630371,4760036123
2023-10-19,1480576660,1501389282,1477518677,1483921997,1483921997,4131864421
2023-10-20,1484119629,1484747559,1464406860,1480645020,1480645020,4756246286
2023-10-21,1480752563,1537864624,1477783813,1514083374,1514083374,6366590535
2023-10-22,1514229980,1548593628,1503497925,1537330200,1537330200,3974402093
2023-10-23,1537323975,1574534180,1531549194,1570855103,1570855103,4956317232
2023-10-24,1581638794,1681747314,1570060425,1654528931,1654528931,13460444234
2023-10-25,1655121216,1742988770,1661270996,1684184204,1684184204,14996032067
2023-10-26,1684625488,1715170776,1663803467,1691580566,1691580566,8933066439
2023-10-27,1691660400,1767912598,1675468506,1707743286,1707743286,10599016643
2023-10-28,1707511963,1708121582,1658151367,1684011841,1684011841,7089130853
2023-10-29,1684048706,1703462646,1677759644,1680769653,1680769653,3998113949
2023-10-30,1680718262,1714165161,1670774414,1700001343,1700001343,4126602370
2023-10-31,1700042236,1723447632,1684849976,1705389404,1705389404,7098266458
2023-11-01,1705429932,1715125854,1685856079,1717216675,1717216675,6124001437
2023-11-02,1716661865,1757852539,1692285400,1744694458,1744694458,10039606070
2023-11-03,1744855225,1767847412,1686327515,1696176025,1696176025,8481909235
2023-11-04,1696454346,1709278198,1675852539,1707157104,1707157104,7100316724
2023-11-05,1707691406,1739260620,1700582397,1730353394,1730353394,4512950164
2023-11-06,1730071167,1780567871,1721897217,1765044312,1765044312,8262732052
2023-11-07,1764922607,1783035522,1743879517,1772500732,1772500732,7560943785
2023-11-08,1773212036,1783558472,1734392090,1765286621,1765286621,8604484535
2023-11-09,1764346802,1778510986,1754117310,1763858154,1763858154,6303271722
2023-11-10,1763501343,1997820068,1760110596,1987909302,1987909302,23163980056
2023-11-11,1988384033,2000404419,1936201782,1942781128,1942781128,13779506261
2023-11-12,1942564697,1953288940,1902390747,1918872803,1918872803,9561442248
2023-11-13,1919251221,1933500366,1887383423,1913121094,1913121094,7437583068
2023-11-14,1913277710,1978478394,1901029297,1920530273,1920530273,13383133104
2023-11-15,1920063110,1929495361,1784089478,1819351074,1819351074,12031724343
2023-11-16,1819737061,1901232666,1810150513,1898250122,1898250122,11632609805
2023-11-17,1897842407,1924867310,1787284302,1806732788,1806732788,13499826372
2023-11-18,1807641235,1833624634,1756601074,1796513550,1796513550,10883471428
2023-11-19,1796871216,1805839722,1759673950,1798349487,1798349487,7387163527
2023-11-20,1798253296,1847681274,1781509766,1846041992,1846041992,7075362136
2023-11-21,1844803101,1889446777,1827344604,1847552002,1847552002,11755020993
2023-11-22,1847532104,1858156616,1774355103,1774355103,1774355103,12506620424
2023-11-23,1771164063,1918957520,1770779297,1896073364,1896073364,12281710999
2023-11-24,1895596069,1911589111,1871238770,1891208130,1891208130,7179288215
2023-11-25,1891392456,1949759521,1890222656,1901236450,1901236450,11091546505
2023-11-26,1901368164,1910546143,1889145874,1904215576,1904215576,4899024598
2023-11-27,1904000244,1912477173,1861794678,1886035522,1886035522,7362849234
2023-11-28,1885217041,1894219482,1815014771,1849985840,1849985840,9649344991
2023-11-29,1850077026,1886320068,1823397339,1862340088,1862340088,9006307594
2023-11-30,1862202637,1885898193,1842871460,1849850098,1849850098,8151609549
2023-12-01,1849329956,1885568970,1850764893,1884503052,1884503052,7443963925
2023-12-02,1884081299,1935781250,1877335449,1916111450,1916111450,9976414879
2023-12-03,1916592041,2005027344,1916357544,1989307373,1989307373,8386476163
2023-12-04,1989483521,2032950195,1976463257,2015157959,2015157959,7604722844
2023-12-05,2015132080,2091899170,2015211548,2069893799,2069893799,14901586282
2023-12-06,2069780029,2138504395,2027407715,2124812988,2124812988,14249524708
2023-12-07,2124615234,2140778809,2066733154,2072802734,2072802734,11880125606
2023-12-08,2074248291,2205981689,2065073975,2184964844,2184964844,13685703581
2023-12-09,2184584473,2212423584,2180387207,2189375000,2189375000,11642838365
2023-12-10,2189332275,2229313965,2164252441,2173078857,2173078857,9851276962
2023-12-11,2173324707,2210272705,2156585205,2185200195,2185200195,6845622342
2023-12-12,2185231934,2187307617,2007134644,2066406738,2066406738,16710177854
2023-12-13,2066232422,2082518311,2007828857,2039206055,2039206055,10548803564
2023-12-14,2039726807,2099213867,1994332031,2077276123,2077276123,11556261173
2023-12-15,2077356445,2121030029,2050301025,2107190430,2107190430,11469047486
2023-12-16,2106764160,2108803467,2029850464,2034502075,2034502075,9404734192
2023-12-17,2035490479,2072520508,2029197510,2041459229,2041459229,6294681227
2023-12-18,2041427979,2059071533,2015843262,2016044678,2016044678,6801699890
2023-12-19,2014998779,2034127563,1942746948,2029820679,2029820679,9490128762
2023-12-20,2030706421,2060692139,1949640991,1983604248,1983604248,9671938187
2023-12-21,1983027588,2063952637,1975131226,2011886475,2011886475,11560398110
2023-12-22,2011775635,2074179688,1995366211,2034774292,2034774292,11462963300
2023-12-23,2034825073,2125567871,2030794922,2110011475,2110011475,14635465756
2023-12-24,2110184814,2115042236,2059135986,2094087891,2094087891,7251414458
2023-12-25,2094614258,2109960938,2042895874,2056541504,2056541504,8578377057
2023-12-26,2056222412,2088157471,2048163818,2062431641,2062431641,7293233967
2023-12-27,2062120361,2063018799,1976300293,2020714600,2020714600,9660987287
2023-12-28,2020649170,2153675537,2007650391,2141398926,2141398926,12748380775
2023-12-29,2142713623,2199469238,2113807129,2121082275,2121082275,14149907810
2023-12-30,2120429688,2157699707,2046922729,2081036865,2081036865,11340026955
2023-12-31,2080773682,2100331055,2053287109,2073234863,2073234863,6230558745
2024-01-01,2073126465,2097157471,2048800537,2066990234,2066990234,6225493745
2024-01-02,2068257813,2131369141,2053895508,2131369141,2131369141,6257999647
2024-01-03,2131609863,2203894043,2128056641,2153114502,2153114502,11799578441
2024-01-04,2153246826,2179315430,1935636841,2023357788,2023357788,17694100134
2024-01-05,2023144775,2096319580,2018682495,2072854980,2072854980,10089640771
2024-01-06,2073193848,2078344727,2018447388,2070934570,2070934570,9914421211
2024-01-07,2071749512,2073410400,2026328125,2046267090,2046267090,5450391543
2024-01-08,2046621338,2059830078,2020720215,2031559326,2031559326,5931500131
2024-01-09,2031551880,2151957031,1985547607,2130642090,2130642090,12630509689
2024-01-10,2130491699,2168425781,2050953125,2144939941,2144939941,13621721387
2024-01-11,2145028320,2394082031,2142301758,2352869629,2352869629,26463800880
2024-01-12,2354753906,2458839355,2339234375,2385278320,2385278320,20555755598
2024-01-13,2384875977,2467245605,2244551025,2302499512,2302499512,21546736819
2024-01-14,2301107422,2361437500,2278907959,2350053223,2350053223,11173220006
2024-01-15,2351335449,2351635010,2257031494,2258736084,2258736084,8593311482
2024-01-16,2258211182,2329512939,2257438232,2294472168,2294472168,8862844790
2024-01-17,2293799561,2403334229,2299066162,2378706543,2378706543,10169832543
2024-01-18,2378112305,2383733887,2305026611,2322534912,2322534912,9591014284
2024-01-19,2322740479,2340541260,2232563965,2267123779,2267123779,10935804505
2024-01-20,2268658447,2296438232,2218737793,2282994629,2282994629,10459210534
2024-01-21,2283314697,2283314697,2252362549,2264736816,2264736816,4858371481
2024-01-22,2253987793,2258931152,2162017578,2180958252,2180958252,10032609280
